loc_rowid,tce_plnt_num,tce_period,tce_period_err,tce_ror,tce_ror_err,tce_dor,tce_dor_err,tce_incl,tce_incl_err,tce_duration,tce_duration_err,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err
13941,1,9.25057,2.66E-06,5.49E-02,6.87E-03,6.6924234,2.01E-01,81.41,3.54E-01,3.548,1.12E-02,19.73,2.47E+00,1.97E+03,3.32E+02,8133,333,3.71,0.27,3.294,1.079
13942,2,9.25055,1.58E-05,9.64E-03,1.17E-03,30.626124,2.11E+01,89.06,2.59E+00,2.024,4.34E-02,3.465,4.22E-01,1.97E+03,3.32E+02,8133,333,3.71,0.27,3.294,1.079
13943,1,5.89777,5.05E-05,8.36E-03,1.14E-02,17.468451,1.20E+02,89.16,8.89E+01,2.516,2.56E-01,1.027,1.40E+00,1.15E+03,3.03E+02,6300,211,4.37,0.3,1.126,0.589
13944,1,631.13,1.02E-02,2.69E-02,1.69E-02,354.85291,7.28E+02,89.92,6.98E-01,12.34,1.66E+00,12.03,7.55E+00,3.38E+02,8.18E+01,5019,200,3.47,0.29,4.093,1.953
13945,1,0.541297,6.85E-06,1.00E-02,4.93E-03,3.394059,8.94E+00,88.31,4.89E+02,1.225,2.48E-01,2.045,1.01E+00,3.60E+03,9.99E+02,7281,305,4.07,0.31,1.87,1.025
13946,2,0.541303,8.94E-06,1.02E-02,4.82E-03,3.1183101,7.72E+00,88.16,5.09E+02,1.333,3.18E-01,2.088,9.84E-01,3.60E+03,9.99E+02,7281,305,4.07,0.31,1.87,1.025
13947,1,2.74564,1.29E-07,3.27E-01,1.30E-02,6.5451069,1.04E-02,81.74,1.81E-01,3.004,2.59E-03,35.73,1.42E+00,1.30E+03,2.04E-05,5780,0,4.44,0,1,0
13948,2,2.74564,5.48E-07,1.63E-01,2.26E-02,4.6101915,8.95E-02,77.61,6.61E-01,2.781,1.02E-02,17.8,2.46E+00,1.30E+03,8.67E-05,5780,0,4.44,0,1,0
13949,1,579.741,5.61E-03,2.01E-02,9.63E-03,274.88575,4.27E+02,89.87,5.13E-01,12.9,1.49E+00,24.04,1.15E+01,5.87E+02,1.65E+01,5023,94,2.54,0.01,10.98,0.46
13950,1,2.2149,4.23E-05,4.31E-03,1.79E-03,1.9559924,3.23E+00,69.17,8.84E+01,6.267,3.55E+00,1.005,4.16E-01,2.51E+03,5.35E+02,7766,310,4.01,0.26,2.137,0.894
13951,3,8.56269,1.83E-05,2.17E-02,1.51E-02,44.417437,9.84E+01,89.79,1.76E+01,1.485,1.14E-01,2.202,1.53E+00,7.68E+02,5.04E+02,5029,214,4.43,0.65,0.93,1.217
13952,1,2.35198,7.48E-06,1.37E-02,7.10E-03,5.4454392,1.34E+01,86.84,8.95E+01,3.194,1.10E-01,1.5,7.77E-01,1.44E+03,3.31E+02,6147,233,4.46,0.31,1.003,0.453
13953,1,2.35332,7.66E-06,1.93E-02,2.87E-02,4.5777722,2.37E+01,87.53,3.49E+02,3.927,3.86E-01,3.183,4.74E+00,1.56E+03,1.69E-03,5446,0,4.13,0,1.514,0
13954,1,2.35195,0.00E+00,3.41E-01,0.00E+00,6.8666757,0.00E+00,89.17,0.00E+00,3.5,0.00E+00,44.96,0.00E+00,1.67E+03,0.00E+00,6528,191,4.33,0.32,1.207,0.678
13955,1,48.888,3.98E-04,2.06E-02,2.05E-02,65.973531,2.26E+02,89.46,4.84E+00,4.573,8.40E-01,1.643,1.64E+00,3.85E+02,5.05E+02,4930,148,4.56,0.99,0.732,1.919
13956,1,0.890316,7.57E-06,7.50E-03,3.93E-03,1.7129804,1.90E+00,89.81,1.01E+04,4,2.35E+00,0.5007,2.62E-01,1.21E+03,7.42E+01,4332,133,4.64,0.06,0.612,0.065
13957,1,9.75938,2.35E-04,5.17E-03,5.25E-03,5.1941984,2.65E+01,89.86,4.74E+03,14.43,2.34E+00,0.9317,9.46E-01,1.19E+03,2.97E+02,6422,249,4.07,0.26,1.651,0.819
13958,1,4.59495,1.18E-05,1.03E-02,2.80E-03,9.0127539,1.15E+01,85.58,1.19E+01,2.856,9.30E-02,1.548,4.22E-01,1.32E+03,1.60E+02,6056,129,4.22,0.15,1.381,0.33
13959,2,0.500666,9.31E-06,1.12E-02,4.36E-03,1.691773,2.45E+00,65.6,9.90E+01,1.652,1.17E+00,2.266,8.86E-01,4.08E+03,1.00E+03,8171,291,4.11,0.29,1.86,0.902
13960,1,3.79503,0.00E+00,1.78E-01,0.00E+00,4.5371867,0.00E+00,88.74,0.00E+00,7.5,0.00E+00,59.63,0.00E+00,2.58E+03,0.00E+00,8117,316,3.75,0.31,3.07,1.167
13961,2,3.79904,1.05E-05,3.78E-01,1.94E-01,2.8795112,9.25E-02,69.68,1.78E+01,9.562,1.11E+01,126.8,6.48E+01,2.58E+03,5.00E+02,8117,316,3.75,0.31,3.07,1.167
