loc_rowid,tce_plnt_num,tce_period,tce_period_err,tce_ror,tce_ror_err,tce_dor,tce_dor_err,tce_incl,tce_incl_err,tce_duration,tce_duration_err,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err
1,2,0.83185,6.69E-05,2.70E-03,4.21E-03,1.0220117,4.03E-01,25.04,2.43E+02,2.392,2.10E+01,0.5099,7.94E-01,2.76E+03,6.37E+02,6510,207,4.07,0.26,1.728,0.791
2,2,1.09524,1.01E-05,5.44E-03,3.88E-03,3.8340026,1.30E+01,86.17,2.12E+02,2.122,4.76E-01,0.8916,6.36E-01,2.31E+03,6.61E+02,6328,207,4.15,0.29,1.502,0.852
3,2,0.719273,1.39E-05,5.36E-03,1.58E-03,2.6067476,3.34E+00,74.42,4.56E+01,1.521,3.18E-01,1.455,4.30E-01,3.33E+03,7.03E+02,6363,214,3.8,0.35,2.489,1.036
4,3,0.831833,9.43E-06,4.81E-03,4.50E-03,2.9148341,1.28E+01,88.13,1.03E+03,2.181,1.21E+00,0.9062,8.49E-01,2.76E+03,6.37E+02,6510,207,4.07,0.26,1.728,0.791
5,1,622.408,8.55E-03,1.17E-02,1.44E-02,400.63642,2.79E+03,90,3.14E+02,12.01,1.84E+00,2.114,2.60E+00,3.02E+02,7.50E+01,6609,200,4.11,0.28,1.654,0.816
6,1,8.88492,1.19E-06,1.15E-01,1.67E-03,36.377831,1.94E+00,89.91,1.50E+00,2.078,2.40E-02,10.57,1.54E-01,7.70E+02,2.76E+01,5332,102,4.5,0.04,0.843,0.051
7,1,2.26211,2.73E-05,5.05E-03,3.23E-03,2.2076606,6.10E+00,82.19,3.00E+02,7.509,5.20E+00,0.9107,5.84E-01,1.96E+03,4.86E+02,6609,236,4.11,0.28,1.654,0.811
8,1,5.0926,3.14E-05,1.42E-02,2.11E-02,11.088219,5.74E+01,88.45,9.12E+01,3.399,2.43E-01,1.16,1.73E+00,8.44E+02,7.86E+01,5037,197,4.55,0.12,0.751,0.127
9,1,8.46044,3.82E-07,4.18E-01,2.67E-02,13.746619,2.63E-02,85.9,1.44E-01,4.804,2.01E-03,32.09,2.05E+00,8.01E+02,1.04E+02,5923,191,4.64,0.18,0.704,0.178
10,2,4.23022,7.33E-07,2.68E-01,2.74E-02,5.476444,3.34E-02,79.49,4.73E-01,4.606,6.93E-03,20.58,2.11E+00,1.01E+03,1.32E+02,5923,191,4.64,0.18,0.704,0.178
11,2,2.69191,2.13E-05,5.91E-03,3.66E-03,3.6620146,1.20E+01,86.79,2.71E+02,5.53,1.30E+00,1.043,6.46E-01,1.92E+03,5.46E+02,7003,299,4.15,0.32,1.617,0.909
12,1,1.34629,2.25E-05,7.73E-03,2.80E-03,1.0185041,5.26E-03,12.39,3.06E+00,1.626,2.71E-01,1.364,4.93E-01,2.42E+03,6.88E+02,7003,299,4.15,0.32,1.617,0.909
13,1,0.614378,9.73E-06,1.05E-02,4.54E-03,3.1369554,5.80E+00,84.7,1.30E+02,1.448,2.51E-01,1.554,6.71E-01,2.60E+03,5.47E+02,5930,170,4.14,0.26,1.353,0.565
14,1,21.7613,1.00E-05,3.16E-02,4.66E-03,127.79401,6.03E+01,89.86,6.77E-01,1.277,3.74E-02,2.492,3.68E-01,4.87E+02,2.07E+01,4859,105,4.61,0.06,0.723,0.053
15,1,0.940463,2.62E-05,4.33E-03,1.75E-03,1.5172945,1.59E+00,62.01,8.74E+01,3.354,2.66E+00,0.8113,3.29E-01,2.47E+03,5.22E+02,5918,172,3.99,0.34,1.718,0.718
16,2,0.940463,8.05E-06,1.14E-02,5.27E-04,1.0154817,1.57E-02,28.19,5.48E+00,3.332,7.31E-01,2.13,9.88E-02,2.47E+03,5.22E+02,5918,172,3.99,0.34,1.718,0.718
17,3,0.94052,7.88E-06,8.15E-03,5.13E-03,2.2608908,5.36E+00,87.46,7.52E+02,3.188,1.75E+00,1.528,9.61E-01,2.47E+03,5.22E+02,5918,172,3.99,0.34,1.718,0.718
18,2,0.778568,9.10E-06,9.05E-03,4.68E-03,1.9286601,4.53E+00,62.14,9.39E+01,1.399,8.44E-01,4.258,2.20E+00,4.46E+03,9.46E+02,7090,308,3.49,0.34,4.311,1.789
19,1,0.778574,7.10E-06,9.59E-03,2.23E-03,3.1773446,3.89E+00,77.27,3.43E+01,1.361,1.47E-01,4.513,1.05E+00,4.46E+03,9.46E+02,7090,308,3.49,0.34,4.311,1.789
20,1,4.28758,1.12E-06,2.95E-02,3.05E-03,22.046943,8.36E+00,88.16,1.42E+00,1.113,4.04E-02,2.616,2.71E-01,9.40E+02,6.08E+01,5295,104,4.58,0.11,0.812,0.1
21,3,1.28453,2.59E-05,8.50E-03,1.07E-03,1.0195264,2.71E-02,26.75,2.02E+01,4.175,2.66E+00,3.996,5.04E-01,3.78E+03,8.01E+02,7090,308,3.49,0.34,4.311,1.789
22,1,1.07861,1.27E-05,4.86E-03,1.65E-03,2.0751553,2.77E+00,76.06,9.36E+01,3.461,1.36E+00,1.32,4.47E-01,2.91E+03,6.14E+02,6363,214,3.8,0.35,2.489,1.036
23,1,0.831777,1.14E-05,5.18E-03,1.32E-03,1.3415808,8.52E-01,49.33,5.32E+01,2.349,1.75E+00,0.9762,2.50E-01,2.76E+03,6.37E+02,6510,207,4.07,0.26,1.728,0.791
24,1,0.547626,2.34E-05,3.53E-03,2.04E-03,2.7147139,6.77E+00,81.19,1.45E+02,1.408,5.43E-01,0.5786,3.34E-01,2.91E+03,8.32E+02,6328,207,4.15,0.29,1.502,0.852
25,2,0.748347,7.79E-06,1.61E-02,1.06E-02,1.5510635,3.56E+00,65.47,2.06E+02,2.897,4.17E+00,3.445,2.26E+00,3.25E+03,8.25E+02,7159,330,4.04,0.29,1.96,0.979
26,1,1.39175,1.49E-05,4.46E-03,1.22E-03,2.7668711,3.60E+00,79.43,6.02E+01,3.33,6.28E-01,0.8991,2.46E-01,2.47E+03,5.89E+02,6793,251,4.05,0.27,1.848,0.871
27,1,1.1262,1.57E-07,1.41E-01,1.44E-03,5.3861537,1.39E-01,84.59,5.77E-01,1.632,1.22E-02,10.37,1.06E-01,1.15E+03,6.87E+01,4298,162,4.6,0.05,0.675,0.063
28,1,0.629008,7.19E-06,3.98E-03,2.99E-03,3.3761698,1.26E+01,88.24,6.73E+02,1.421,4.80E-01,0.7839,5.89E-01,3.16E+03,7.45E+02,6734,215,4.06,0.27,1.804,0.842
29,1,0.674634,1.04E-05,2.29E-03,5.18E-04,1.0523836,1.84E-01,31.22,5.72E+01,2.16,3.48E+00,0.505,1.14E-01,4.42E+03,1.52E+03,9990,451,4.2,0.37,2.017,1.377
30,2,1.34942,8.02E-06,3.09E-03,4.14E-04,3.0977314,2.57E+00,83.98,5.27E+01,3.159,3.00E-01,0.6806,9.12E-02,3.51E+03,1.21E+03,9990,451,4.2,0.37,2.017,1.377
31,3,1.34947,7.25E-06,3.66E-03,2.16E-04,3.6988271,1.20E+00,79.09,7.59E+00,2.005,6.79E-02,0.8054,4.74E-02,3.51E+03,1.21E+03,9990,451,4.2,0.37,2.017,1.377
32,1,2.98032,3.38E-05,5.15E-03,8.18E-04,1.2753135,4.16E-01,45.18,3.01E+01,8.03,3.86E+00,0.802,1.28E-01,1.63E+03,4.56E+02,6404,208,4.2,0.3,1.428,0.793
33,1,3.79424,3.17E-05,6.33E-03,4.05E-03,4.2559694,1.36E+01,87.3,2.28E+02,6.716,1.07E+00,1.856,1.19E+00,2.05E+03,5.35E+02,6489,215,3.7,0.5,2.686,1.389
34,1,27.2481,4.85E-04,8.23E-03,1.76E-02,19.496622,1.84E+02,89.99,5.77E+03,10.76,1.04E+00,0.7486,1.60E+00,5.57E+02,2.10E+02,5529,179,4.46,0.46,0.834,0.627
35,1,1.69146,3.00E-05,1.29E-02,1.11E-02,1.0256693,3.77E-03,13.5,4.03E+00,2.232,5.37E-01,2.135,1.83E+00,2.04E+03,5.58E+02,6452,203,4.15,0.29,1.512,0.82
36,2,3.38294,3.55E-05,6.18E-03,2.10E-03,2.4110513,3.77E+00,68.08,4.64E+01,4.822,1.07E+00,1.02,3.46E-01,1.62E+03,4.43E+02,6452,203,4.15,0.29,1.512,0.82
37,3,3.38292,5.29E-05,7.50E-03,4.88E-04,1.1322163,7.11E-02,32.17,8.06E+00,7.093,1.27E+00,1.237,8.05E-02,1.62E+03,4.43E+02,6452,203,4.15,0.29,1.512,0.82
38,1,0.862877,8.45E-06,1.58E-02,4.74E-03,1.6747427,1.90E+00,57.49,5.67E+01,1.854,6.95E-01,2.548,7.63E-01,2.75E+03,6.38E+02,6991,293,4.16,0.26,1.475,0.673
39,2,10.3069,0.00E+00,2.85E-01,0.00E+00,13.448645,0.00E+00,89.57,0.00E+00,7.5,0.00E+00,37.84,0.00E+00,9.60E+02,0.00E+00,5912,162,4.22,0.21,1.217,0.413
40,3,10.307,6.17E-06,4.17E-01,1.98E-01,4.242176,1.32E-01,76.38,3.29E+00,18.64,3.45E-01,55.33,2.63E+01,9.60E+02,1.65E+02,5912,162,4.22,0.21,1.217,0.413
41,1,449.504,2.02E-02,2.88E-02,7.45E-02,337.5975,3.51E+03,89.91,3.55E+00,9.138,6.74E+00,2.618,6.76E+00,2.10E+02,3.97E+01,5523,166,4.57,0.26,0.832,0.311
42,1,13.4472,1.02E-05,3.38E-02,8.10E-03,45.369434,5.57E+01,89.87,1.56E+01,2.33,1.84E-01,3.835,9.20E-01,8.48E+02,1.84E+02,6276,204,4.41,0.28,1.041,0.447
43,2,0.499972,2.04E-05,8.24E-03,5.33E-03,2.0007463,5.95E+00,69.52,1.53E+02,1.385,1.24E+00,2.214,1.43E+00,4.16E+03,7.93E+02,7338,320,3.9,0.22,2.462,0.915
44,1,26.0204,1.65E-04,3.12E-02,2.73E-02,40.890599,1.58E+02,89.53,1.62E+01,4.737,1.21E+00,3.059,2.68E+00,5.86E+02,1.04E+02,5806,199,4.53,0.26,0.899,0.313
45,1,21.1653,2.71E-04,1.24E-02,9.63E-03,10.700564,4.30E+01,89.42,2.01E+02,15.21,9.42E-01,1.581,1.22E+00,7.70E+02,2.26E+02,6425,253,4.37,0.33,1.164,0.678
46,1,0.668328,8.07E-02,3.84E-05,1.31E-02,1.0497943,1.43E+01,27.65,4.94E+03,1.789,4.16E+02,0.01124,3.83E+00,4.29E+03,7.83E+02,8230,354,3.9,0.22,2.685,0.927
47,1,3.51468,4.53E-05,5.39E-03,1.71E-03,2.6300229,4.06E+00,70.35,4.19E+01,4.885,9.29E-01,0.9501,3.01E-01,1.78E+03,4.01E+02,6908,234,4.08,0.24,1.614,0.721
48,2,3.51349,5.60E-05,6.30E-03,6.01E-04,1.1905503,1.61E-01,37.65,1.44E+01,7.943,2.22E+00,1.11,1.06E-01,1.78E+03,4.01E+02,6908,234,4.08,0.24,1.614,0.721
49,1,2.4894,2.83E-05,9.67E-03,7.44E-04,1.2017141,1.04E-01,39.99,9.42E+00,6.558,1.08E+00,3.085,2.37E-01,3.11E+03,5.68E+02,8757,340,3.8,0.24,2.923,1.043
50,2,0.723891,1.61E-05,7.08E-03,2.17E-03,1.9375871,2.63E+00,74.93,1.05E+02,2.489,1.16E+00,2.257,6.91E-01,4.69E+03,8.57E+02,8757,340,3.8,0.24,2.923,1.043
51,1,0.968246,1.60E-05,4.74E-03,3.88E-03,1.0851261,4.96E-01,89.23,1.14E+04,6.848,1.83E+01,0.9394,7.69E-01,2.28E+03,7.36E+02,5340,181,3.93,0.49,1.816,1.165
52,1,1.87905,1.57E-05,2.94E-03,3.97E-04,2.1905509,1.18E+00,76.79,3.48E+01,5.695,8.13E-01,1.472,1.99E-01,3.78E+03,7.65E+02,8020,327,3.5,0.32,4.589,1.819
53,2,1.87845,1.46E-05,3.52E-03,4.96E-04,1.2232212,3.32E-01,41.98,2.83E+01,4.979,2.60E+00,1.761,2.48E-01,3.78E+03,7.65E+02,8020,327,3.5,0.32,4.589,1.819
54,2,39.8415,1.27E-05,1.17E-01,8.08E-03,20.720361,2.60E-01,87.23,6.81E-02,7.328,1.27E-02,31.64,2.18E+00,8.33E+02,1.84E+02,6070,179,3.8,0.37,2.47,1.083
55,1,1.41352,1.51E-05,7.10E-03,2.52E-03,1.9632755,2.94E+00,75.38,1.16E+02,4.822,2.38E+00,1.294,4.60E-01,2.38E+03,8.87E+02,7032,282,4.18,0.42,1.671,1.241
56,2,4.24047,1.70E-05,1.26E-02,2.12E-03,3.230315,2.75E+00,77.44,2.33E+01,7.312,3.42E-01,2.293,3.87E-01,1.65E+03,6.15E+02,7032,282,4.18,0.42,1.671,1.241
57,3,2.82707,1.74E-05,1.10E-02,1.98E-03,1.7399753,1.15E+00,65.44,4.11E+01,8.768,2.49E+00,2.004,3.61E-01,1.89E+03,7.04E+02,7032,282,4.18,0.42,1.671,1.241
58,1,1.93658,1.87E-05,8.06E-03,3.58E-03,1.7142255,2.48E+00,66.16,9.73E+01,6.319,4.39E+00,0.8933,3.97E-01,1.55E+03,3.37E+02,6096,204,4.44,0.29,1.016,0.438
59,2,1.93652,1.79E-05,7.64E-03,8.93E-03,2.4515715,1.16E+01,89.11,3.50E+03,6.076,5.42E+00,0.8469,9.90E-01,1.55E+03,3.37E+02,6096,204,4.44,0.29,1.016,0.438
60,1,0.968245,9.86E-06,5.03E-03,3.96E-03,1.3865328,2.60E+00,89.81,3.49E+04,5.362,1.09E+01,0.5441,4.29E-01,1.94E+03,3.93E+02,6170,179,4.47,0.29,0.992,0.398
61,1,0.968155,2.90E-05,5.66E-03,1.03E-03,1.0276338,3.39E-02,15.34,9.38E+00,1.23,4.43E-01,0.6397,1.17E-01,1.90E+03,3.51E+02,5808,170,4.38,0.25,1.036,0.378
62,1,550.335,1.09E-02,4.12E-02,3.33E-02,385.73223,9.33E+02,89.98,3.13E+00,11.28,2.18E+00,3.143,2.54E+00,1.58E+02,9.40E+00,4620,175,4.58,0.05,0.699,0.064
63,2,299.74,8.65E-03,3.61E-02,3.95E-02,302.39423,1.01E+03,89.89,1.15E+00,6.614,2.26E+00,2.755,3.01E+00,1.94E+02,1.15E+01,4620,175,4.58,0.05,0.699,0.064
64,1,1.45433,2.61E-05,4.15E-03,1.99E-03,1.4028838,2.00E+00,60.09,1.47E+02,5.705,8.25E+00,0.9061,4.35E-01,2.88E+03,7.54E+02,8038,303,4.08,0.32,2,1.037
65,1,1.93859,2.06E-05,5.99E-03,4.84E-03,2.0126397,6.44E+00,82.83,4.81E+02,7.168,7.31E+00,0.6293,5.08E-01,1.57E+03,3.32E+02,6347,207,4.48,0.3,0.962,0.402
66,1,8.18736,1.35E-05,2.13E-02,1.18E-02,19.817619,4.00E+01,88.96,1.66E+01,3.019,2.26E-01,1.977,1.09E+00,7.82E+02,3.75E+01,5251,112,4.49,0.06,0.849,0.073
67,2,76.051,5.61E-04,1.82E-02,2.21E-02,86.132435,3.86E+02,89.85,1.31E+01,6.691,9.49E-01,1.686,2.05E+00,3.72E+02,1.79E+01,5251,112,4.49,0.06,0.849,0.073
68,1,25.9341,8.09E-05,2.14E-02,2.30E-03,23.468189,1.18E+01,87.92,1.46E+00,4.779,3.33E-01,2.866,3.08E-01,6.95E+02,6.34E+01,5952,119,4.29,0.12,1.225,0.218
69,2,83.4463,3.88E-04,2.18E-02,6.15E-03,70.276264,9.17E+01,89.42,1.50E+00,6.621,7.04E-01,2.915,8.23E-01,4.71E+02,4.29E+01,5952,119,4.29,0.12,1.225,0.218
70,1,0.508591,5.45E-05,4.90E-03,1.21E-02,1.1652771,4.80E+00,39.41,5.46E+02,1.489,1.63E+01,2.009,4.98E+00,5.10E+03,9.00E+02,7524,300,3.61,0.27,3.755,1.293
71,2,0.904939,1.38E-05,1.04E-02,1.24E-02,1.3414832,3.99E+00,86.81,3.89E+03,5.193,1.90E+01,4.245,5.08E+00,4.20E+03,7.43E+02,7524,300,3.61,0.27,3.755,1.293
72,1,1.23358,0.00E+00,1.36E-02,0.00E+00,2.112243,0.00E+00,87.29,0.00E+00,4.5,0.00E+00,2.376,0.00E+00,2.46E+03,0.00E+00,6985,271,4.18,0.36,1.605,1.026
73,2,1.23355,1.18E-05,1.15E-02,1.01E-02,1.9084307,6.93E+00,75.02,2.96E+02,4.36,5.46E+00,2.019,1.76E+00,2.46E+03,7.91E+02,6985,271,4.18,0.36,1.605,1.026
74,1,2.54043,1.32E-05,1.47E-02,1.22E-03,1.8496861,4.19E-01,60.88,9.63E+00,4.918,2.43E-01,2.772,2.30E-01,2.07E+03,6.10E+02,7261,357,4.12,0.33,1.724,1
75,1,1.07736,9.23E-06,5.58E-03,1.54E-03,1.5592978,1.46E+00,54.75,5.34E+01,2.367,1.40E+00,0.844,2.34E-01,2.31E+03,6.85E+02,6614,233,4.25,0.33,1.387,0.816
76,2,3.23279,7.18E-05,9.56E-03,5.45E-04,1.0596603,1.40E-02,21.83,2.46E+00,5.294,3.64E-01,1.447,8.25E-02,1.60E+03,4.75E+02,6614,233,4.25,0.33,1.387,0.816
77,3,3.23213,3.94E-05,5.67E-03,1.53E-03,1.7229572,1.74E+00,58.31,4.76E+01,6.282,2.69E+00,0.8579,2.31E-01,1.60E+03,4.75E+02,6614,233,4.25,0.33,1.387,0.816
78,2,0.758263,9.47E-06,6.63E-03,1.87E-03,1.1181873,3.79E-01,36.47,5.78E+01,2.344,2.95E+00,1.124,3.17E-01,2.82E+03,9.40E+02,6921,276,4.2,0.37,1.553,1.027
79,1,1.69338,1.69E-05,4.81E-03,2.58E-03,2.3793454,5.90E+00,83.66,2.76E+02,5.273,2.71E+00,0.7539,4.03E-01,2.08E+03,8.45E+02,6961,274,4.28,0.45,1.435,1.162
80,2,0.564462,1.04E-05,4.09E-03,3.97E-03,1.2246791,2.23E+00,87.82,5.53E+03,3.532,1.29E+01,0.6402,6.22E-01,3.00E+03,1.22E+03,6961,274,4.28,0.45,1.435,1.162
81,1,0.641049,4.82E-06,5.08E-03,4.71E-04,1.8373677,8.70E-01,67.21,2.73E+01,1.891,3.62E-01,2.793,2.59E-01,7.04E+03,1.40E+03,10546,423,3.57,0.31,5.04,1.957
82,2,0.548762,7.35E-06,1.16E-02,3.08E-03,2.2422471,2.85E+00,71.46,5.41E+01,1.342,3.45E-01,2.619,6.97E-01,3.98E+03,1.29E+03,7956,326,4.07,0.37,2.072,1.33
83,1,41.8668,4.65E-04,1.16E-02,2.26E-02,54.808113,5.01E+02,89.7,3.33E+01,5.656,1.07E+00,1.068,2.08E+00,4.95E+02,1.02E+02,5864,157,4.56,0.29,0.842,0.345
84,1,0.630084,1.11E-05,9.19E-03,3.46E-03,3.1209309,5.44E+00,76.9,4.93E+01,1.11,1.76E-01,1.122,4.22E-01,2.43E+03,6.66E+02,6328,247,4.37,0.31,1.118,0.607
85,2,0.630087,1.20E-05,9.16E-03,4.55E-03,4.6953033,1.14E+01,83.68,5.98E+01,0.8888,8.52E-02,1.118,5.55E-01,2.43E+03,6.66E+02,6328,247,4.37,0.31,1.118,0.607
86,1,0.941598,1.99E-06,2.02E-02,5.53E-03,7.0505789,7.10E+00,87.22,2.46E+01,0.9807,2.77E-02,1.843,5.05E-01,1.61E+03,5.83E+02,5237,185,4.48,0.51,0.837,0.604
87,1,5.49994,1.71E-07,1.92E-01,3.16E-05,4.7399987,1.69E-03,85.7,1.24E-02,10.08,1.46E-03,30.09,4.95E-03,1.41E+03,4.92E+02,6916,271,4.25,0.39,1.437,0.998
88,2,2.74997,4.21E-07,8.08E-02,8.28E-05,1.9341513,4.42E-03,69.4,1.27E-01,9.121,3.32E-03,12.66,1.30E-02,1.78E+03,6.20E+02,6916,271,4.25,0.39,1.437,0.998
89,3,5.50026,2.11E-05,1.34E-02,7.83E-04,2.0285757,4.46E-01,69.91,1.11E+01,15.24,8.52E-01,2.098,1.23E-01,1.41E+03,4.92E+02,6916,271,4.25,0.39,1.437,0.998
90,4,5.50012,0.00E+00,1.20E-02,0.00E+00,2.8210537,0.00E+00,87.97,0.00E+00,15,0.00E+00,1.889,0.00E+00,1.41E+03,0.00E+00,6916,271,4.25,0.39,1.437,0.998
91,2,13.4457,2.45E-04,9.86E-03,3.80E-03,4.393864,8.31E+00,84.59,6.27E+01,21.53,1.37E+00,1.12,4.31E-01,8.48E+02,1.84E+02,6276,204,4.41,0.28,1.041,0.447
92,1,1.19676,1.60E-05,1.08E-02,4.18E-03,1.0190157,2.72E-03,12.76,2.60E+00,1.656,2.49E-01,5.82,2.24E+00,5.76E+03,1.13E+03,10752,448,3.59,0.32,4.924,1.891
93,2,1.19686,1.37E-05,1.01E-02,7.64E-04,1.0178708,2.75E-03,13.42,1.25E+00,1.8,1.02E-01,5.452,4.11E-01,5.76E+03,1.13E+03,10752,448,3.59,0.32,4.924,1.891
94,1,459.313,1.16E-02,1.57E-02,4.11E-02,1004.3319,1.35E+04,89.96,1.10E+00,2.587,2.31E+00,2.647,6.93E+00,3.05E+02,8.86E+01,6253,188,4.17,0.32,1.545,0.892
95,2,1.97363,9.98E-06,4.79E-03,7.74E-04,6.8444509,5.94E+00,85.72,1.45E+01,1.905,7.11E-02,1.713,2.77E-01,3.32E+03,5.47E+02,8241,334,3.72,0.27,3.277,1.046
96,3,1.97363,1.54E-05,4.13E-03,2.06E-03,8.1312152,2.28E+01,88.04,7.22E+01,1.789,9.99E-02,1.476,7.35E-01,3.32E+03,5.47E+02,8241,334,3.72,0.27,3.277,1.046
97,1,1.97361,1.83E-05,1.54E-02,1.40E-03,1.1313942,2.67E-02,29.47,2.89E+00,3.286,1.49E-01,2.097,1.91E-01,1.66E+03,3.29E+02,5870,165,4.24,0.23,1.248,0.491
98,3,0.72386,9.65E-06,9.95E-03,3.09E-03,1.5240734,1.69E+00,67.12,1.15E+02,2.967,2.37E+00,3.175,9.86E-01,4.69E+03,8.57E+02,8757,340,3.8,0.24,2.923,1.043
99,1,0.947537,8.94E-06,7.91E-03,2.72E-03,3.073657,4.56E+00,72.93,3.29E+01,1.058,1.13E-01,0.7051,2.43E-01,1.70E+03,3.83E+02,5627,169,4.52,0.28,0.817,0.366
100,1,0.686988,5.61E-06,1.99E-02,6.11E-03,1.9350081,2.02E+00,62.28,4.17E+01,1.301,1.81E-01,2.17,6.67E-01,2.07E+03,5.63E-03,5780,0,4.44,0,1,0
101,2,2.02126,2.01E-05,1.37E-02,1.97E-02,2.1879736,1.09E+01,82.12,5.50E+02,6.833,7.97E+00,1.494,2.15E+00,1.44E+03,4.79E-03,5780,0,4.44,0,1,0
102,2,7.35389,1.15E-04,7.00E-03,1.68E-03,2.6557935,2.90E+00,74.87,3.84E+01,15.45,2.36E+00,1.213,2.92E-01,1.28E+03,3.13E+02,6370,240,4.08,0.26,1.588,0.769
103,3,3.67731,7.96E-05,6.43E-03,7.86E-04,1.1137029,1.39E-01,35.22,2.12E+01,10.85,5.22E+00,1.114,1.36E-01,1.61E+03,3.95E+02,6370,240,4.08,0.26,1.588,0.769
104,1,2.79666,2.45E-05,1.29E-02,9.45E-03,8.3398667,3.56E+01,85.42,4.47E+01,1.957,4.57E-01,5.928,4.33E+00,2.91E+03,5.85E+02,7174,289,3.51,0.32,4.2,1.654
105,2,4.19539,3.17E-04,5.82E-03,1.03E-03,1.0003685,2.86E-01,25.89,3.41E+01,14.39,4.06E+00,2.668,4.72E-01,2.54E+03,5.11E+02,7174,289,3.51,0.32,4.2,1.654
106,1,0.847716,9.31E-06,4.43E-03,1.43E-03,1.900518,2.64E+00,78.54,1.51E+02,3.172,1.65E+00,0.9016,2.90E-01,3.11E+03,7.39E+02,7262,318,4.05,0.27,1.863,0.87
107,1,0.731707,1.15E-05,1.41E-02,7.41E-03,3.8104066,1.10E+01,79.28,6.50E+01,1.064,1.47E-01,4.048,2.13E+00,3.97E+03,7.30E+02,7841,304,3.9,0.23,2.63,0.946
108,1,0.996298,2.07E-05,8.01E-03,1.24E-02,2.0169923,1.35E+01,89.28,1.01E+04,3.803,7.90E+00,1.46,2.26E+00,2.67E+03,9.96E+02,7032,325,4.18,0.42,1.671,1.238
109,1,71.5254,7.56E-05,7.01E-02,4.37E-03,92.485563,1.76E+01,89.78,3.41E-01,5.972,1.71E-01,6.237,3.89E-01,3.46E+02,3.33E+02,4850,183,4.51,0.85,0.815,1.565
110,1,0.982769,1.20E-05,7.88E-03,1.07E-02,1.4238265,4.90E+00,89.9,1.17E+05,5.315,1.76E+01,0.9166,1.24E+00,2.03E+03,4.86E+02,6225,223,4.4,0.3,1.066,0.505
111,1,3.04949,2.15E-05,6.84E-03,1.41E-03,1.9778723,1.64E+00,62.69,3.16E+01,5.135,1.07E+00,1.099,2.26E-01,1.66E+03,4.25E+02,6382,202,4.14,0.27,1.472,0.75
112,1,0.58119,7.45E-06,1.34E-02,5.51E-03,2.2708725,4.22E+00,83.96,2.44E+02,1.925,7.61E-01,3.458,1.43E+00,3.85E+03,7.23E+02,7202,287,3.91,0.22,2.368,0.87
113,1,0.582576,1.31E-05,1.67E-02,2.76E-02,3.599702,2.42E+01,88.41,1.17E+03,1.251,4.34E-01,1.826,3.02E+00,2.18E+03,1.64E-02,5780,0,4.44,0,1,0
114,2,0.581897,3.58E-05,1.44E-02,9.12E-02,6.9812087,1.92E+02,89.82,1.07E+04,0.6458,2.58E-01,1.574,9.95E+00,2.18E+03,4.48E-02,5780,0,4.44,0,1,0
115,1,3.37572,7.93E-06,1.36E-02,4.58E-03,9.6056324,1.75E+01,84.67,1.23E+01,1.293,2.53E-01,1.814,6.12E-01,1.44E+03,4.78E+02,6303,209,4.3,0.35,1.224,0.806
116,1,14.0797,2.57E-05,1.35E-02,5.89E-03,41.185349,7.82E+01,88.82,3.13E+00,1.44,2.17E-01,1.304,5.68E-01,6.95E+02,1.38E+02,5568,146,4.5,0.27,0.883,0.348
117,3,1.78835,3.63E-05,2.62E-02,1.44E-03,1.0117758,3.30E-03,15.78,1.09E+00,4.379,1.41E-01,4.591,2.51E-01,2.17E+03,6.98E+02,6985,271,4.18,0.36,1.605,1.026
118,1,459.312,5.90E-03,4.84E-02,1.03E-01,332.43887,2.29E+02,89.83,1.48E-01,3.797,6.91E-01,6.884,1.46E+01,2.90E+02,7.45E+01,6243,205,4.22,0.26,1.303,0.664
119,1,0.766194,7.40E-06,7.73E-03,1.60E-03,2.6698,2.82E+00,79.21,5.20E+01,1.918,2.98E-01,1.601,3.31E-01,3.24E+03,1.01E+03,7384,320,4.09,0.36,1.898,1.175
120,1,3.55382,4.02E-06,1.28E-02,2.02E-03,7.9907962,5.93E+00,86.58,1.14E+01,3.036,3.85E-02,1.509,2.38E-01,1.29E+03,1.14E+02,6015,126,4.37,0.13,1.081,0.185
121,1,27.5557,8.68E-04,1.59E-02,4.73E-02,22.142949,2.66E+02,89.55,1.80E+02,9.514,3.02E+00,1.447,4.32E+00,5.32E+02,1.04E+02,5509,184,4.57,0.27,0.836,0.322
122,1,0.593624,9.70E-06,8.72E-03,6.09E-03,1.0932774,7.91E-01,34.21,1.46E+02,1.855,6.25E+00,1.86,1.30E+00,3.54E+03,1.02E+03,7277,313,4.05,0.32,1.954,1.109
123,2,0.593647,9.90E-06,9.19E-03,9.64E-03,1.9741639,9.03E+00,89.82,2.91E+04,2.318,3.48E+00,1.96,2.06E+00,3.54E+03,1.02E+03,7277,313,4.05,0.32,1.954,1.109
124,1,0.53025,1.11E-05,2.07E-03,4.51E-04,1.000008,1.34E-03,42.51,7.45E+01,2.75,3.86E+00,0.6797,1.48E-01,5.18E+03,8.93E+02,8615,357,3.78,0.29,3.003,1.005
125,2,1.08868,1.19E-05,1.09E-02,3.66E-03,2.1584285,3.43E+00,76.61,1.05E+02,3.385,1.29E+00,2.044,6.88E-01,2.75E+03,8.09E+02,7261,357,4.12,0.33,1.724,1
